# Created by fun3.pl
#ORF	BESTHIT	BESTAVER
NC_015380_1	K01649	K01649
NC_015380_2	K00053	K00053
NC_015380_3	K01653	K01653
NC_015380_4	K01652	K01652
NC_015380_5	K00791	K00791
NC_015380_6	K04771	K04771
NC_015380_7	K09937	K09937
NC_015380_8	K04087	K04087
NC_015380_9	K04088	K04088
NC_015380_10	K03593	K03593
NC_015380_11	K03465	K03465
NC_015380_14	K07246	K07246
NC_015380_17	K03676	K03676
NC_015380_18	K06196	K06196
NC_015380_21	K07304	
NC_015380_24	K05837	K05837
NC_015380_25	K05515	K05515
NC_015380_26	K00325	K00325
NC_015380_27	K00324	K00324
NC_015380_28	K00324	K00324
NC_015380_29	K02919	K02919
NC_015380_30	K01784	K01784
NC_015380_35	K13002	K13002
NC_015380_39	K02851	K02851
NC_015380_43	K21304	K21304
NC_015380_44	K00992	K00992
NC_015380_45	K17716	
NC_015380_50	K02500	K02500
NC_015380_51	K02501	K02501
NC_015380_52	K02501	K02501
NC_015380_53	K04042	
NC_015380_54	K13017	
NC_015380_55	K13018	K13018
NC_015380_57	K00786	
NC_015380_60	K10046	K10046
NC_015380_61	K00612	K00612
NC_015380_68	K20444	K20444
NC_015380_69	K15912	
NC_015380_70	K15912	K15912
NC_015380_73	K03790	K03790
NC_015380_75	K01790	K01790
NC_015380_78	K03274	
NC_015380_79	K01709	K01709
NC_015380_80	K00978	K00978
NC_015380_81	K00979	K00979
NC_015380_82	K00979	K00979
NC_015380_83	K01666	K01666
NC_015380_84	K01666	K01666
NC_015380_87	K13010	
NC_015380_89	K13010	
NC_015380_90	K16044	K16044
NC_015380_94	K02433	K02433
NC_015380_97	K00786	K00786
NC_015380_98	K01654	
NC_015380_99	K01654	
NC_015380_100	K15899	
NC_015380_101	K15894	K15894
NC_015380_104	K00059	K00059
NC_015380_105	K00983	
NC_015380_107	K02500	K02500
NC_015380_108	K02501	K02501
NC_015380_109	K02501	K02501
NC_015380_111	K00966	
NC_015380_113	K01463	K01463
NC_015380_114	K00604	K00604
NC_015380_115	K18429	
NC_015380_116	K18430	K18430
NC_015380_117	K13006	K13006
NC_015380_118	K13010	
NC_015380_119	K01710	
NC_015380_122	K22424	K22424
NC_015380_123	K22424	K22424
NC_015380_124	K07010	
NC_015380_125	K04042	K01841
NC_015380_126	K00860	K00860
NC_015380_136	K19304	K19304
NC_015380_138	K02493	K02493
NC_015380_139	K02835	K02835
NC_015380_140	K03526	K03526
NC_015380_141	K00928	K00928
NC_015380_142	K00568	K00568
NC_015380_145	K03574	K03574
NC_015380_146	K00620	K00620
NC_015380_147	K03070	K03070
NC_015380_148	K01962	K01962
NC_015380_149	K01638	K01638
NC_015380_152	K13829	K13829
NC_015380_153	K03699	K03699
NC_015380_154	K05527	
NC_015380_155	K03686	
NC_015380_156	K09882	K09882
NC_015380_157	K09883	K09883
NC_015380_158	K09125	K09125
NC_015380_159	K02902	K02902
NC_015380_160	K07090	K07090
NC_015380_162	K00254	K00254
NC_015380_163	K04566	K04566
NC_015380_164	K03498	K03498
NC_015380_165	K00611	K00611
NC_015380_166	K00821	K00821
NC_015380_167	K01992	K01992
NC_015380_168	K13583	K13583
NC_015380_169	K00285	K00285
NC_015380_172	K04072	K04072
NC_015380_173	K00130	
NC_015380_174	K00135	K00129
NC_015380_175	K19670	K19670
NC_015380_176	K21900	
NC_015380_177	K03306	K03306
NC_015380_178	K07220	K07220
NC_015380_179	K02042	K02042
NC_015380_180	K02042	K02042
NC_015380_181	K02041	K02041
NC_015380_182	K02044	K02044
NC_015380_183	K01091	K01091
NC_015380_184	K02010	K02010
NC_015380_185	K02011	K02011
NC_015380_186	K08478	K08478
NC_015380_188	K06167	K06167
NC_015380_189	K07636	K07636
NC_015380_190	K07657	K07657
NC_015380_191	K02039	K02039
NC_015380_192	K02036	K02036
NC_015380_193	K02038	K02038
NC_015380_194	K02037	K02037
NC_015380_195	K02040	K02040
NC_015380_198	K15977	K15977
NC_015380_201	K20276	K20276
NC_015380_204	K01768	K01768
NC_015380_207	K11275	K17570
NC_015380_210	K02655	K02655
NC_015380_211	K02650	K02650
NC_015380_212	K04749	
NC_015380_213	K04757	K07315
NC_015380_214	K02653	K02653
NC_015380_215	K02653	K02653
NC_015380_216	K02652	K02652
NC_015380_217	K02666	K02666
NC_015380_220	K02662;K02663	K02662;K02663
NC_015380_221	K06902	K06902
NC_015380_223	K02654	K02654
NC_015380_224	K02674	K02674
NC_015380_230	K02650	K02650
